,food items,Allergy,Avg Serving Size,Calories,Category,Carbs,Total Fat,Saturated Fat,Protein,Fiber,Cholesterol,Sodium,Sugar,Potassium,Magnesium,Phosphorus,Vitamin C,Vitamin A,Calcium,Iron,Zinc,Vitamin E,Vitamin K,Serving_Size_Grams,Calories_per_100g,Carbs_per_100g,Total Fat_per_100g,Saturated Fat_per_100g,Protein_per_100g,Fiber_per_100g,Cholesterol_per_100g,Sodium_per_100g,Sugar_per_100g,Potassium_per_100g,Magnesium_per_100g,Phosphorus_per_100g,Vitamin C_per_100g,Vitamin A_per_100g,Calcium_per_100g,Iron_per_100g,Zinc_per_100g,Vitamin E_per_100g,Vitamin K_per_100g
691,Brown Bread,No allergy,33.0,81.18,Breads,15.147,1.386,0.198,3.036,2.046,0.0,111.54,1.518,96.69,17.49,75.24,0.0,0.33,17.49,1.056,0.726,0.165,0.495,33.0,246.00000000000003,45.9,4.199999999999999,0.6,9.2,6.199999999999999,0.0,338.00000000000006,4.6,293.0,52.99999999999999,227.99999999999997,0.0,1.0,52.99999999999999,3.2,2.1999999999999997,0.5,1.5
692,Sprouted Grain Bread,No allergy,33.0,80.19,Breads,14.685,1.155,0.165,3.003,2.046,0.0,128.04,1.221,113.19,23.1,79.86,0.0,0.33,15.84,0.825,0.495,0.264,0.891,33.0,242.99999999999997,44.5,3.5000000000000004,0.5,9.1,6.199999999999999,0.0,388.0,3.7000000000000006,343.0,70.0,242.0,0.0,1.0,48.0,2.5,1.5,0.8,2.7
693,Multigrain Bread,No allergy,33.0,81.51,Breads,14.19,1.056,0.165,2.97,2.31,0.0,151.8,1.32,84.15,26.4,57.75,0.0,0.0,22.11,0.825,0.726,0.198,0.891,33.0,247.00000000000003,43.0,3.2,0.5,9.000000000000002,7.000000000000001,0.0,460.00000000000006,4.0,255.00000000000003,80.0,175.0,0.0,0.0,67.0,2.5,2.1999999999999997,0.6,2.7
694,Paav Bread,No allergy,55.0,163.35,Breads,28.6,1.98,0.33,4.4,1.1,0.0,291.5,1.1,63.25,13.75,57.75,0.0,0.0,33.55,1.375,0.66,0.165,0.715,55.0,297.0,52.0,3.5999999999999996,0.6,8.0,2.0,0.0,530.0,2.0,114.99999999999999,25.0,105.0,0.0,0.0,61.0,2.5,1.2,0.3,1.3
695,Bun Bread,No allergy,55.0,154.55,Breads,29.37,2.42,0.385,5.225,0.99,0.0,246.95,1.76,55.0,13.75,70.4,0.0,0.0,57.75,1.815,0.77,0.275,0.0,55.0,281.0,53.400000000000006,4.3999999999999995,0.7000000000000001,9.499999999999998,1.7999999999999998,0.0,449.0,3.2,100.0,25.0,128.0,0.0,0.0,105.0,3.3000000000000003,1.4000000000000001,0.5,0.0
696,Brown Rices,No allergy,85.0,95.2,Breakfast grains,19.975,0.765,0.17,2.21,1.53,0.0,0.85,0.7225,36.55,37.4,93.5,0.0,0.0,8.5,0.68,0.9265,0.1445,1.36,85.0,112.00000000000001,23.5,0.8999999999999999,0.2,2.6,1.7999999999999998,0.0,1.0,0.8500000000000001,43.0,44.0,110.00000000000001,0.0,0.0,10.0,0.8,1.09,0.16999999999999998,1.6
697,Basmati Rices,No allergy,100.0,370.0,Breakfast grains,79.0,0.8,0.2,7.3,1.3,0.0,1.0,0.12,35.0,24.0,79.0,0.0,0.0,5.0,1.08,0.99,0.08,0.4,100.0,370.0,79.0,0.8,0.2,7.3,1.3,0.0,1.0,0.12,35.0,24.0,79.0,0.0,0.0,5.0,1.08,0.9899999999999999,0.08,0.4
698,Baby Corn,No allergy,50.0,13.0,Breakfast grains,2.9,0.15,0.0,0.75,0.8,0.0,2.5,1.25,105.5,10.5,8.5,2.75,43.5,4.5,0.25,0.1,0.05,0.25,50.0,26.0,5.8,0.3,0.0,1.5,1.6,0.0,5.0,2.5,211.0,21.0,17.0,5.5,87.0,9.0,0.5,0.2,0.1,0.5
699,Wild Rices,No allergy,100.0,101.0,Breakfast grains,21.3,0.4,0.1,4.0,1.8,0.0,7.0,0.35,427.0,44.0,306.0,0.0,0.0,10.0,1.44,2.03,1.29,1.9,100.0,101.0,21.3,0.4,0.1,4.0,1.8000000000000003,0.0,7.000000000000001,0.35,426.99999999999994,44.0,306.0,0.0,0.0,10.0,1.44,2.03,1.29,1.9
700,Sweet Corns,No allergy,145.0,123.25,Breakfast grains,27.55,1.45,0.29,4.35,2.9,0.0,21.75,4.669,391.5,53.65,129.05,9.86,275.5,2.9,0.754,0.3915,0.0435,0.435,145.0,85.0,19.0,1.0,0.2,3.0,2.0,0.0,15.0,3.2199999999999998,270.0,37.0,89.00000000000001,6.799999999999999,190.0,2.0,0.52,0.27,0.03,0.3
701,Rolled Oatss,No allergy,100.0,389.0,Breakfast grains,66.0,7.0,1.0,17.0,10.0,0.0,0.0,1.07,429.0,138.0,180.0,0.0,0.0,54.0,4.72,1.29,0.45,0.0,100.0,389.0,66.0,7.000000000000001,1.0,17.0,10.0,0.0,0.0,1.07,429.0,138.0,180.0,0.0,0.0,54.0,4.72,1.29,0.45000000000000007,0.0
702,Quick Oatss,No allergy,100.0,379.0,Breakfast grains,67.0,6.5,1.0,13.0,10.0,0.0,5.0,0.77,355.0,110.0,180.0,0.0,0.0,54.0,4.72,1.29,0.45,0.0,100.0,379.0,67.0,6.5,1.0,13.0,10.0,0.0,5.0,0.77,355.0,110.00000000000001,180.0,0.0,0.0,54.0,4.72,1.29,0.45000000000000007,0.0
703,Instant Oatss,No allergy,100.0,389.0,Breakfast grains,67.0,6.9,1.2,12.0,10.0,0.0,202.0,0.76,259.0,32.0,89.0,0.0,0.0,11.0,1.31,0.27,0.11,0.0,100.0,389.0,67.0,6.9,1.2,12.0,10.0,0.0,202.0,0.76,259.0,32.0,89.0,0.0,0.0,11.0,1.31,0.27,0.11,0.0
704,Steel-cut Oatss,No allergy,100.0,378.0,Breakfast grains,68.0,7.0,1.0,14.0,10.0,0.0,0.0,0.99,350.0,138.0,180.0,0.0,0.0,54.0,4.72,1.29,0.45,0.0,100.0,378.0,68.0,7.000000000000001,1.0,14.000000000000002,10.0,0.0,0.0,0.9899999999999999,350.0,138.0,180.0,0.0,0.0,54.0,4.72,1.29,0.45000000000000007,0.0
705,Oat Groatss,No allergy,100.0,379.0,Breakfast grains,68.0,6.5,1.0,13.0,10.0,0.0,2.0,1.55,429.0,139.0,410.0,0.0,0.0,52.0,4.72,1.29,0.03,0.0,100.0,379.0,68.0,6.5,1.0,13.0,10.0,0.0,2.0,1.55,429.0,139.0,409.99999999999994,0.0,0.0,52.0,4.72,1.29,0.03,0.0
706,Whole Barleys,No allergy,100.0,354.0,Breakfast grains,73.5,2.3,0.4,9.9,17.3,0.0,12.0,0.8,452.0,158.0,295.0,0.0,0.0,33.0,3.6,2.2,0.6,1.6,100.0,354.0,73.5,2.3,0.4,9.9,17.3,0.0,12.0,0.8,451.99999999999994,158.0,295.0,0.0,0.0,33.0,3.6000000000000005,2.2,0.6,1.6
707,Barley Flakess,No allergy,165.0,580.8,Breakfast grains,121.275,3.795,0.825,16.995,25.74,0.0,4.95,1.32,462.0,57.75,179.85,0.0,0.0,13.2,4.125,2.475,0.0,2.475,165.0,351.99999999999994,73.5,2.3,0.5,10.3,15.6,0.0,3.0000000000000004,0.8,280.0,35.0,108.99999999999999,0.0,0.0,8.0,2.5,1.5000000000000002,0.0,1.5000000000000002
708,Barley Gritss,No allergy,100.0,352.0,Breakfast grains,76.0,1.3,0.3,8.2,15.0,0.0,3.0,0.8,280.0,35.0,109.0,0.0,0.0,8.0,2.5,1.5,0.0,1.5,100.0,352.0,76.0,1.3,0.3,8.2,15.0,0.0,3.0,0.8,280.0,35.0,109.00000000000001,0.0,0.0,8.0,2.5,1.5,0.0,1.5
709,Whole Ryes,No allergy,50.0,168.0,Breakfast grains,38.155,0.96,0.14,4.86,7.8,0.0,3.0,0.55,167.0,60.5,175.0,0.25,0.0,17.0,0.9,0.85,0.25,1.35,50.0,336.0,76.31,1.92,0.28,9.72,15.6,0.0,6.0,1.1,334.0,121.0,350.0,0.5,0.0,34.0,1.8000000000000003,1.7000000000000002,0.5,2.7
710,Whole Grain Wheat,No allergy,100.0,340.0,Breakfast grains,71.2,2.5,0.4,11.8,10.7,0.0,2.0,0.9,405.0,138.0,318.0,0.0,0.0,34.0,3.9,2.8,1.1,1.9,100.0,340.0,71.2,2.5,0.4,11.8,10.7,0.0,2.0,0.9000000000000001,405.0,138.0,318.0,0.0,0.0,34.0,3.9,2.8,1.1,1.9
711,Sprouts,No allergy,50.0,15.0,Breakfast grains,2.95,0.15,0.0,1.55,0.65,0.0,6.5,0.45,39.5,12.0,35.0,6.6,15.0,8.0,0.75,0.25,0.75,0.55,50.0,30.0,5.9,0.3,0.0,3.1,1.3,0.0,13.0,0.9000000000000001,79.0,24.0,70.0,13.200000000000001,30.0,16.0,1.5,0.5,1.5,1.1
712,Whole Grain Quinoa,No allergy,100.0,368.0,Breakfast grains,64.2,6.1,0.7,14.1,7.0,0.0,5.0,2.4,563.0,197.0,457.0,0.0,0.0,47.0,4.6,3.1,2.4,0.9,100.0,368.0,64.2,6.1,0.7,14.099999999999998,7.000000000000001,0.0,5.0,2.4,563.0,197.0,457.0,0.0,0.0,47.0,4.6,3.1,2.4,0.9000000000000001
713,Foxtail Millets,No allergy,150.0,178.5,Breakfast grains,37.8,1.8,0.45,4.8,1.95,0.0,25.5,0.9,450.0,94.5,435.0,0.0,0.0,46.5,4.2,2.4,1.2,0.0,150.0,119.0,25.2,1.2,0.3,3.2,1.3,0.0,17.0,0.6,300.0,63.0,290.0,0.0,0.0,31.0,2.8000000000000003,1.6,0.8,0.0
714,Barnyard Millets,No allergy,174.0,168.78,Breakfast grains,37.758,1.044,0.174,6.264,3.132,0.0,15.66,2.784,339.3,55.68,509.82,0.0,0.0,19.14,11.658,4.872,1.914,0.0,174.0,97.0,21.700000000000003,0.6,0.1,3.6000000000000005,1.8000000000000003,0.0,9.0,1.6,195.0,32.0,293.0,0.0,0.0,11.0,6.699999999999999,2.8000000000000003,1.0999999999999999,0.0
715,Little Millets,No allergy,100.0,119.0,Breakfast grains,25.2,1.3,0.3,3.6,7.6,0.0,17.0,1.4,205.0,25.0,211.0,0.0,0.0,17.0,9.3,2.2,0.2,0.0,100.0,119.0,25.2,1.3,0.3,3.6000000000000005,7.6,0.0,17.0,1.4,204.99999999999997,25.0,211.0,0.0,0.0,17.0,9.3,2.2,0.2,0.0
716,Kodo Millets,No allergy,100.0,104.0,Breakfast grains,21.66,1.19,0.25,3.3,1.2,0.0,27.0,0.9,241.0,37.0,293.0,0.0,0.0,27.0,0.9,0.9,0.1,0.0,100.0,104.0,21.66,1.19,0.25,3.3000000000000003,1.2,0.0,27.0,0.9000000000000001,241.0,37.0,293.0,0.0,0.0,27.0,0.9000000000000001,0.9000000000000001,0.1,0.0
717,Pearl Millets,No allergy,170.0,202.3,Breakfast grains,40.29,2.21,0.51,5.27,2.21,0.0,28.9,1.36,595.0,193.8,484.5,0.0,0.0,40.8,5.27,3.06,2.89,0.0,170.0,119.00000000000001,23.7,1.3,0.3,3.0999999999999996,1.3,0.0,17.0,0.8,350.0,114.00000000000001,285.0,0.0,0.0,24.0,3.0999999999999996,1.7999999999999998,1.7000000000000002,0.0
718,White Sorghums,No allergy,110.0,132.0,Breakfast grains,27.5,1.1,0.0,3.3,3.3,0.0,2.2,0.66,385.0,149.6,315.7,0.0,0.0,30.8,3.85,1.32,0.55,0.0,110.0,120.0,25.0,1.0,0.0,3.0,3.0,0.0,2.0,0.6,350.0,136.0,287.0,0.0,0.0,28.000000000000004,3.5000000000000004,1.2,0.5,0.0
719,Sorghum Flakes,No allergy,30.0,107.1,Breakfast grains,22.95,0.93,0.15,2.19,1.89,0.0,1.5,0.15,105.0,40.8,86.1,0.0,0.0,0.0,1.32,0.84,0.03,0.0,30.0,357.0,76.5,3.1000000000000005,0.5,7.3,6.3,0.0,5.0,0.5,350.0,136.0,286.99999999999994,0.0,0.0,0.0,4.4,2.8000000000000003,0.1,0.0
720,Whole grain Sorghum,No allergy,100.0,329.0,Breakfast grains,72.1,3.3,0.7,11.3,6.7,0.0,5.0,2.6,350.0,197.0,287.0,0.0,0.0,0.0,4.4,2.8,0.5,0.0,100.0,329.0,72.1,3.3000000000000003,0.7,11.3,6.7,0.0,5.0,2.6,350.0,197.0,287.0,0.0,0.0,0.0,4.4,2.8,0.5,0.0
721,Roti,No allergy,50.0,148.5,Indian bread,23.05,3.1,0.75,4.85,1.45,0.0,86.5,0.0,59.5,37.0,80.0,0.25,5.5,48.5,1.95,0.7,0.55,0.95,50.0,297.0,46.1,6.2,1.5,9.7,2.9,0.0,173.0,0.0,119.0,74.0,160.0,0.5,11.0,97.0,3.9,1.4,1.1,1.9
722,Paratha,No allergy,75.0,222.75,Indian bread,34.65,5.325,1.275,7.125,1.95,0.0,168.0,0.0,86.25,54.0,84.0,0.375,8.25,55.5,1.65,0.45,1.125,2.625,75.0,297.0,46.199999999999996,7.1000000000000005,1.6999999999999997,9.5,2.6,0.0,224.00000000000003,0.0,114.99999999999999,72.0,112.00000000000001,0.5,11.0,74.0,2.1999999999999997,0.6,1.5,3.5000000000000004
723,Fruit Juice,No allergy,250.0,135.0,Juice,32.5,0.25,0.0,1.0,0.5,0.0,10.0,30.0,405.0,20.0,40.0,100.0,832.5,0.75,3.75,27.5,0.75,0.175,250.0,54.0,13.0,0.1,0.0,0.4,0.2,0.0,4.0,12.0,162.0,8.0,16.0,40.0,333.0,0.3,1.5,11.0,0.3,0.06999999999999999
724,Aloe Vera Juice,No allergy,350.0,52.5,Juice,12.95,0.0,0.0,0.35,0.0,0.0,38.5,12.95,199.5,14.0,28.0,9.8,77.0,0.0,105.0,28.0,0.14,0.35,350.0,15.0,3.6999999999999997,0.0,0.0,0.1,0.0,0.0,11.0,3.6999999999999997,56.99999999999999,4.0,8.0,2.8000000000000003,22.0,0.0,30.0,8.0,0.04,0.1
725,Cold-pressed Juice,No allergy,250.0,115.0,Juice,26.25,1.25,0.0,1.25,1.25,0.0,7.5,22.5,537.5,25.0,25.0,125.0,3915.0,0.625,1.5,70.0,0.9,0.725,250.0,46.0,10.5,0.5,0.0,0.5,0.5,0.0,3.0,9.0,215.0,10.0,10.0,50.0,1566.0,0.25,0.6,28.000000000000004,0.36,0.29
726,Watermelon Juice,No allergy,350.0,105.0,Juice,28.0,0.0,0.0,0.0,0.0,0.0,14.0,24.5,308.0,35.0,35.0,28.0,1991.5,0.175,0.35,35.0,0.7,0.7,350.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,7.000000000000001,88.0,10.0,10.0,8.0,569.0,0.05,0.1,10.0,0.2,0.2
727,Pineapple Juice,No allergy,350.0,175.0,Juice,45.5,0.0,0.0,0.0,0.0,0.0,17.5,35.0,350.0,45.5,35.0,98.0,164.5,0.385,2.1,35.0,0.35,1.05,350.0,50.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,100.0,13.0,10.0,28.000000000000004,47.0,0.11,0.6,10.0,0.1,0.3
728,Orange Juice,No allergy,350.0,164.5,Juice,38.5,0.0,0.0,3.5,0.0,0.0,3.5,31.5,700.0,42.0,70.0,175.0,787.5,0.35,0.35,38.5,1.4,0.35,350.0,47.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,200.0,12.0,20.0,50.0,225.0,0.1,0.1,11.0,0.4,0.1
729,Cranberry Juice,No allergy,350.0,161.0,Juice,42.7,0.35,0.0,0.35,0.35,0.0,7.0,42.7,297.5,21.0,17.5,46.55,210.0,1.33,17.85,28.0,0.35,0.35,350.0,46.0,12.200000000000001,0.1,0.0,0.1,0.1,0.0,2.0,12.200000000000001,85.0,6.0,5.0,13.299999999999997,60.0,0.38,5.1000000000000005,8.0,0.1,0.1
730,Grapefruit Juice,No allergy,350.0,136.5,Juice,33.25,0.35,0.0,1.75,0.7,0.0,3.5,33.25,581.0,24.5,45.5,109.2,658.0,0.28,0.35,42.0,0.35,0.35,350.0,39.0,9.5,0.1,0.0,0.5,0.2,0.0,1.0,9.5,166.0,7.000000000000001,13.0,31.2,188.0,0.08,0.1,12.0,0.1,0.1
731,Pomegranate Juice,No allergy,350.0,290.5,Juice,65.45,4.2,0.7,3.5,3.15,0.0,24.5,58.45,1137.5,126.0,136.5,57.4,0.0,2.1,57.4,35.0,1.05,1.4,350.0,83.0,18.7,1.2,0.2,1.0,0.8999999999999999,0.0,7.000000000000001,16.7,325.0,36.0,39.0,16.400000000000002,0.0,0.6,16.400000000000002,10.0,0.3,0.4
732,Strawberry Juice,No allergy,350.0,164.5,Juice,40.95,0.7,0.0,2.1,2.8,0.0,7.0,37.1,472.5,35.0,42.0,122.5,49.0,1.015,1.75,42.0,0.7,0.7,350.0,47.0,11.700000000000001,0.2,0.0,0.6,0.8,0.0,2.0,10.600000000000001,135.0,10.0,12.0,35.0,14.000000000000002,0.29,0.5,12.0,0.2,0.2
733,Honeydrew Juice,No allergy,350.0,224.0,Juice,57.75,0.0,0.0,1.75,2.45,0.0,31.5,49.7,959.0,28.0,45.5,70.0,378.0,0.49,1.75,21.0,1.05,0.42,350.0,64.0,16.5,0.0,0.0,0.5,0.7000000000000001,0.0,9.0,14.200000000000001,274.0,8.0,13.0,20.0,108.0,0.13999999999999999,0.5,6.0,0.3,0.12
734,Cantaloupe Juice,No allergy,350.0,119.0,Juice,28.7,0.0,0.0,2.8,3.15,0.0,49.0,27.65,934.5,38.5,66.5,126.0,11837.0,0.28,0.0525,31.5,0.7,0.49,350.0,34.0,8.200000000000001,0.0,0.0,0.8,0.8999999999999999,0.0,14.000000000000002,7.9,267.0,11.0,19.0,36.0,3382.0,0.08,0.015,9.0,0.2,0.13999999999999999
735,Papaya Juice,No allergy,350.0,189.0,Juice,47.95,0.7,0.0,2.45,2.8,0.0,31.5,36.05,637.0,49.0,49.0,217.0,1148.0,1.89,6.3,70.0,1.05,0.35,350.0,54.0,13.700000000000001,0.2,0.0,0.7000000000000001,0.8,0.0,9.0,10.299999999999999,182.0,14.000000000000002,14.000000000000002,62.0,328.0,0.5399999999999999,1.7999999999999998,20.0,0.3,0.1
736,Carrot Juice,No allergy,350.0,143.5,Juice,33.6,0.7,0.0,3.15,9.8,0.0,241.5,17.15,1120.0,38.5,70.0,17.5,59570.0,1.33,59.15,115.5,1.05,1.05,350.0,41.0,9.6,0.2,0.0,0.8999999999999999,2.8000000000000003,0.0,69.0,4.8999999999999995,320.0,11.0,20.0,5.0,17020.0,0.38,16.9,33.0,0.3,0.3
737,Apple Juice,No allergy,240.0,110.4,Juice,26.4,0.0,0.0,0.24,0.48,0.0,2.4,24.0,256.8,12.0,24.0,16.8,2.4,2.4,0.288,0.12,0.432,0.0,240.0,46.0,11.0,0.0,0.0,0.1,0.2,0.0,1.0,10.0,107.0,5.0,10.0,7.000000000000001,1.0,1.0,0.12,0.05,0.18,0.0
738,Mango Juice,No allergy,240.0,144.0,Juice,36.0,0.0,0.0,0.96,0.72,0.0,9.6,31.2,374.4,43.2,38.4,86.4,12.0,24.0,0.384,0.216,2.16,1.44,240.0,60.0,15.0,0.0,0.0,0.4,0.3,0.0,4.0,13.0,155.99999999999997,18.000000000000004,16.0,36.00000000000001,5.0,10.0,0.16,0.09,0.9000000000000001,0.6
739,Beetroot Juice,No allergy,240.0,103.2,Juice,24.0,0.0,0.0,1.92,0.48,0.0,132.0,16.8,780.0,55.2,38.4,16.8,36.0,38.4,1.92,0.408,0.12,0.48,240.0,43.0,10.0,0.0,0.0,0.8,0.2,0.0,55.00000000000001,7.000000000000001,325.0,23.0,16.0,7.000000000000001,15.0,16.0,0.8,0.16999999999999998,0.05,0.2
740,Black Coffee,No allergy,240.0,2.4,Tea & Coffee,0.48,0.0,0.0,0.72,0.72,0.0,12.0,0.0,278.4,19.2,48.0,0.0,0.0,0.024,0.0,9.6,0.12,0.024,240.0,1.0,0.2,0.0,0.0,0.3,0.3,0.0,5.0,0.0,115.99999999999999,8.0,20.0,0.0,0.0,0.01,0.0,4.0,0.05,0.01
741,Coffee with cream and sugar,No allergy,240.0,278.4,Tea & Coffee,29.52,15.6,9.84,2.64,0.0,55.2,132.0,24.96,331.2,16.8,213.6,0.0,120.0,0.264,0.0,172.8,0.12,0.048,240.0,115.99999999999999,12.3,6.5,4.1000000000000005,1.1,0.0,23.0,55.00000000000001,10.4,138.0,7.000000000000001,89.0,0.0,50.0,0.11,0.0,72.00000000000001,0.05,0.02
742,Black Tea,No allergy,240.0,4.8,Tea & Coffee,0.96,0.0,0.0,0.24,0.24,0.48,0.0,4.8,0.0,60.0,7.2,24.0,0.0,0.0,0.024,0.0,16.8,0.048,240.0,2.0,0.4,0.0,0.0,0.1,0.1,0.2,0.0,2.0,0.0,25.0,3.0000000000000004,10.0,0.0,0.0,0.01,0.0,7.000000000000001,0.02
743,Tea with milk and sugar,No allergy,240.0,177.6,Tea & Coffee,22.8,7.92,5.04,6.24,0.0,26.4,91.2,21.84,369.6,26.4,163.2,0.0,31.2,0.216,0.0,235.2,0.864,0.024,240.0,74.0,9.5,3.3000000000000003,2.1,2.6,0.0,11.0,38.0,9.1,154.0,11.0,68.0,0.0,13.0,0.09,0.0,98.0,0.36,0.01
744,Chai,No allergy,240.0,312.0,Tea & Coffee,48.0,12.0,7.2,9.6,2.4,48.0,120.0,45.6,264.0,12.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,130.0,20.0,5.0,3.0000000000000004,4.0,1.0,20.0,50.0,19.0,110.00000000000001,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745,Espresso,No allergy,30.0,2.7,Tea & Coffee,0.54,0.03,0.0,0.27,0.0,0.0,2.1,0.0,43.8,2.4,7.8,0.0,0.0,0.0,0.0,1.8,0.06,0.0,30.0,9.000000000000002,1.8000000000000003,0.1,0.0,0.9000000000000001,0.0,0.0,7.000000000000001,0.0,146.0,8.0,26.0,0.0,0.0,0.0,0.0,6.000000000000001,0.2,0.0
746,Cappuccino,No allergy,180.0,97.2,Tea & Coffee,9.18,4.14,2.52,5.4,0.0,18.0,100.8,7.92,259.2,19.8,167.4,0.0,72.0,0.18,1.08,185.4,0.18,0.18,180.0,54.0,5.1,2.3,1.4000000000000001,3.0000000000000004,0.0,10.0,55.99999999999999,4.3999999999999995,144.0,11.0,93.0,0.0,40.0,0.1,0.6,103.0,0.1,0.1
747,Americano,No allergy,240.0,2.4,Tea & Coffee,0.24,0.24,0.0,0.72,0.24,0.0,16.8,0.0,180.0,19.2,9.6,0.0,0.0,0.024,1.2,21.6,0.24,0.024,240.0,1.0,0.1,0.1,0.0,0.3,0.1,0.0,7.000000000000001,0.0,75.0,8.0,4.0,0.0,0.0,0.01,0.5,9.000000000000002,0.1,0.01
748,Macchiato,No allergy,80.0,41.6,Tea & Coffee,4.16,2.16,1.36,1.68,0.0,8.0,30.4,4.0,80.0,8.0,16.0,0.0,180.0,0.048,0.08,8.0,0.16,0.024,80.0,52.0,5.2,2.7,1.7000000000000002,2.0999999999999996,0.0,10.0,38.0,5.0,100.0,10.0,20.0,0.0,225.0,0.060000000000000005,0.1,10.0,0.2,0.030000000000000002
749,Irish coffee,No allergy,240.0,506.4,Tea & Coffee,39.36,23.76,14.16,3.36,0.0,146.4,93.6,33.6,451.2,14.4,93.6,0.0,391.2,2.52,13.2,48.0,0.48,0.192,240.0,211.0,16.400000000000002,9.9,5.9,1.4000000000000001,0.0,61.0,38.99999999999999,14.000000000000002,188.0,6.000000000000001,38.99999999999999,0.0,163.0,1.05,5.5,20.0,0.2,0.08
750,Masala chai,No allergy,240.0,141.6,Tea & Coffee,21.6,5.28,1.68,4.32,4.32,16.8,96.0,18.72,223.2,45.6,117.6,0.0,984.0,6.0,12.0,427.2,3.6,0.696,240.0,59.0,9.000000000000002,2.2,0.7000000000000001,1.8000000000000003,1.8000000000000003,7.000000000000001,40.0,7.8,93.0,19.0,49.0,0.0,409.99999999999994,2.5,5.0,178.0,1.5000000000000002,0.29
751,Earl Grey tea,No allergy,200.0,2.0,Tea & Coffee,0.4,0.0,0.0,0.2,0.0,0.0,12.0,0.4,54.0,2.0,2.0,0.0,0.0,0.0,4.0,0.2,0.02,0.06,200.0,1.0,0.2,0.0,0.0,0.1,0.0,0.0,6.0,0.2,27.0,1.0,1.0,0.0,0.0,0.0,2.0,0.1,0.01,0.03
752,Jasmine tea,No allergy,200.0,2.0,Tea & Coffee,0.4,0.0,0.0,0.2,0.0,0.0,2.0,0.4,60.0,4.0,4.0,0.0,0.0,0.0,18.0,0.2,0.02,0.0,200.0,1.0,0.2,0.0,0.0,0.1,0.0,0.0,1.0,0.2,30.0,2.0,2.0,0.0,0.0,0.0,9.0,0.1,0.01,0.0
753,Rooibos tea,No allergy,200.0,0.0,Tea & Coffee,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,0.14,0.14,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.07,0.07
754,Peppermint tea,No allergy,200.0,0.0,Tea & Coffee,0.4,0.0,0.0,0.2,0.8,0.0,2.0,0.0,160.0,10.0,20.0,0.0,0.0,0.0,0.0,16.0,2.4,0.38,200.0,0.0,0.2,0.0,0.0,0.1,0.4,0.0,1.0,0.0,80.0,5.0,10.0,0.0,0.0,0.0,0.0,8.0,1.2,0.19
755,Lemon ginger tea,No allergy,200.0,2.0,Tea & Coffee,0.4,0.0,0.0,0.2,0.4,0.0,6.0,0.4,36.0,4.0,4.0,2.8,0.0,0.0,0.0,12.0,0.2,0.04,200.0,1.0,0.2,0.0,0.0,0.1,0.2,0.0,3.0,0.2,18.0,2.0,2.0,1.4,0.0,0.0,0.0,6.0,0.1,0.02
756,Lavender latte,No allergy,350.0,381.5,Tea & Coffee,35.0,19.25,12.25,17.5,0.0,84.0,245.0,31.5,567.0,73.5,577.5,0.0,763.0,0.385,9.45,420.0,4.55,1.05,350.0,109.00000000000001,10.0,5.5,3.5000000000000004,5.0,0.0,24.0,70.0,9.0,162.0,21.0,165.0,0.0,218.00000000000003,0.11,2.7,120.0,1.3,0.3
757,Cardamom coffee,No allergy,240.0,4.8,Tea & Coffee,0.72,0.0,0.0,0.72,0.0,0.0,2.4,0.0,117.6,24.0,117.6,0.0,0.0,0.0,0.0,4.8,1.2,0.216,240.0,2.0,0.3,0.0,0.0,0.3,0.0,0.0,1.0,0.0,49.0,10.0,49.0,0.0,0.0,0.0,0.0,2.0,0.5,0.09
758,Golden milk,No allergy,350.0,560.0,Tea & Coffee,45.5,26.25,19.95,12.25,0.0,66.5,203.0,33.95,920.5,91.0,525.0,0.0,875.0,5.005,2.45,469.0,27.3,6.125,350.0,160.0,13.0,7.5,5.699999999999999,3.5000000000000004,0.0,19.0,57.99999999999999,9.700000000000001,263.0,26.0,150.0,0.0,250.0,1.43,0.7000000000000001,134.0,7.8,1.7500000000000002
759,Dalgona coffee,No allergy,200.0,900.0,Tea & Coffee,124.0,28.0,18.0,6.0,0.0,56.0,292.0,104.0,688.0,68.0,176.0,0.0,0.0,0.22,0.0,46.0,10.8,1.0,200.0,450.0,62.0,14.000000000000002,9.0,3.0,0.0,28.000000000000004,146.0,52.0,344.0,34.0,88.0,0.0,0.0,0.11,0.0,23.0,5.4,0.5
760,Red espresso,No allergy,30.0,0.3,Tea & Coffee,0.06,0.0,0.0,0.03,0.03,0.0,0.0,0.0,20.1,0.3,4.5,0.0,0.0,0.0,0.0,0.0,0.12,0.006,30.0,1.0,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,67.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.4,0.02
